"nuts","year","risk_pct"
"SK02",2007,18.2
"SK03",2007,20.5
"SK04",2007,28.3
"TR",2007,64.4
"UK",2007,22.6
"AT",2008,20.6
"AT11",2008,NA
"AT12",2008,NA
"AT13",2008,NA
"AT21",2008,NA
"AT22",2008,NA
"AT31",2008,NA
"AT32",2008,NA
"AT33",2008,NA
"AT34",2008,NA
"BE",2008,20.8
"BG",2008,44.8
"BG3",2008,51.3
"BG31",2008,52.5
"BG32",2008,54.5
"BG33",2008,48.3
"BG34",2008,50.1
"BG4",2008,37.7
"BG41",2008,33.8
"BG42",2008,43.1
"CH",2008,18.1
"CH01",2008,19.5
"CH02",2008,22.6
"CH03",2008,15.2
"CH04",2008,13.4
"CH05",2008,17.1
"CH06",2008,15.8
"CH07",2008,25.1
"CY",2008,23.3
"CZ",2008,15.3
"CZ01",2008,9.9
"CZ02",2008,12.8
"CZ03",2008,11.5
"CZ04",2008,22.9
"CZ05",2008,13.5
"CZ06",2008,13.8
"CZ07",2008,17.6
"CZ08",2008,21.6
"DE",2008,20.1
"DE11",2008,NA
"DE12",2008,NA
"DE13",2008,NA
"DE14",2008,NA
"DE21",2008,NA
"DE22",2008,NA
"DE23",2008,NA
"DE24",2008,NA
"DE25",2008,NA
"DE26",2008,NA
"DE27",2008,NA
"DE30",2008,NA
"DE40",2008,NA
"DE50",2008,NA
"DE60",2008,NA
"DE71",2008,NA
"DE72",2008,NA
"DE73",2008,NA
"DE80",2008,NA
"DE91",2008,NA
"DE92",2008,NA
"DE93",2008,NA
"DE94",2008,NA
"DEA1",2008,NA
"DEA2",2008,NA
"DEA3",2008,NA
"DEA4",2008,NA
"DEA5",2008,NA
"DEB1",2008,NA
"DEB2",2008,NA
"DEB3",2008,NA
"DEC0",2008,NA
"DED2",2008,NA
"DED4",2008,NA
"DED5",2008,NA
"DEE0",2008,NA
"DEF0",2008,NA
"DEG0",2008,NA
"DK",2008,16.3
"DK01",2008,18.2
"DK02",2008,14.4
"DK03",2008,13.2
"DK04",2008,17.2
"DK05",2008,19
"EE",2008,21.8
"EL",2008,28.1
"EL3",2008,22.4
"EL4",2008,26.2
"EL5",2008,32.6
"EL6",2008,32.3
"ES",2008,23.8
"ES1",2008,23
"ES11",2008,25.1
"ES12",2008,19.5
"ES13",2008,19.9
"ES2",2008,14.5
"ES21",2008,13.9
"ES22",2008,8.6
"ES23",2008,19.6
"ES24",2008,17.1
"ES3",2008,19.3
"ES30",2008,19.3
"ES4",2008,27.3
"ES41",2008,21.4
"ES42",2008,28.8
"ES43",2008,37.9
"ES5",2008,20.7
"ES51",2008,15.6
"ES52",2008,27.5
"ES53",2008,23.6
"ES6",2008,31.1
"ES61",2008,31.6
"ES62",2008,27.5
"ES63",2008,43.4
"ES64",2008,24.6
"ES7",2008,34.8
"ES70",2008,34.8
"FI",2008,17.4
"FI1",2008,17.5
"FI13",2008,NA
"FI18",2008,NA
"FI19_20",2008,18.7
"FI1A",2008,NA
"FI1B",2008,12.1
"FI1C",2008,18.9
"FI1D",2008,20.8
"FI2",2008,4.4
"FR",2008,18.5
"HR",2008,NA
"HR03",2008,NA
"HR04",2008,NA
"HU",2008,28.2
"HU1",2008,23.1
"HU10",2008,23.1
"HU11",2008,NA
"HU12",2008,NA
"HU2",2008,23.9
"HU21",2008,25
"HU22",2008,16.9
"HU23",2008,29.8
"HU3",2008,35.1
"HU31",2008,39.7
"HU32",2008,35.2
"HU33",2008,30.7
"IE",2008,23.7
"IE01",2008,28.6
"IE02",2008,21.8
"IS",2008,11.8
"IT",2008,25.5
"ITC",2008,15.8
"ITC1",2008,17
"ITC2",2008,11.2
"ITC3",2008,19.8
"ITC4",2008,14.7
"ITF",2008,41.6
"ITF1",2008,24.5
"ITF2",2008,30.4
"ITF3",2008,47.6
"ITF4",2008,38.2
"ITF5",2008,39.4
"ITF6",2008,44.4
"ITG",2008,44.9
"ITG1",2008,48.2
"ITG2",2008,35
"ITH",2008,14.3
"ITH1",2008,11.8
"ITH2",2008,8.3
"ITH3",2008,15.2
"ITH4",2008,17.7
"ITH5",2008,13.2
"ITI",2008,18.6
"ITI1",2008,15.2
"ITI2",2008,17.8
"ITI3",2008,16.5
"ITI4",2008,21.7
"LT",2008,28.3
"LU",2008,15.5
"LV",2008,34.2
"MK",2008,NA
"MT",2008,20.1
"NL",2008,14.9
"NL1",2008,NA
"NL11",2008,NA
"NL12",2008,NA
"NL13",2008,NA
"NL2",2008,NA
"NL21",2008,NA
"NL22",2008,NA
"NL23",2008,NA
"NL3",2008,NA
"NL31",2008,NA
"NL32",2008,NA
"NL33",2008,NA
"NL34",2008,NA
"NL4",2008,NA
"NL41",2008,NA
"NL42",2008,NA
"NO",2008,15.1
"NO01",2008,15.4
"NO02",2008,14.5
"NO03",2008,15.9
"NO04",2008,15
"NO05",2008,13.2
"NO06",2008,17.6
"NO07",2008,14.2
"PL",2008,30.5
"PL1",2008,NA
"PL2",2008,NA
"PL3",2008,NA
"PL4",2008,NA
"PL5",2008,NA
"PL6",2008,NA
"PT",2008,26
"RO",2008,44.2
"RO1",2008,36.9
"RO11",2008,34.9
"RO12",2008,39
"RO2",2008,51.7
"RO21",2008,55.5
"RO22",2008,46.7
"RO3",2008,41.1
"RO31",2008,46
"RO32",2008,34
"RO4",2008,46.2
"RO41",2008,56.6
"RO42",2008,34.3
"RS",2008,NA
"SE",2008,16.7
"SE1",2008,16.2
"SE11",2008,15.8
"SE12",2008,16.7
"SE2",2008,16.8
"SE21",2008,16.3
"SE22",2008,17.9
"SE23",2008,16.1
"SE3",2008,17.7
"SE31",2008,17.2
"SE32",2008,15.5
"SE33",2008,20
"SI",2008,18.5
"SI01",2008,22.3
"SI02",2008,14.1
"SK",2008,20.6
"SK01",2008,13.3
"SK02",2008,17.8
"SK03",2008,20.4
"SK04",2008,26.8
"TR",2008,63.9
"UK",2008,23.2
"AT",2009,19.1
