PLANNAME,EW2016,STATUS1,STATUS2,STATUS3,STATUS4,DYNAMO1,DYNAMO2,DYNAMO3,DYNAMO4
Düppel,5292,2.45,0.63,3.27,3.32,-0.13,-0.15,-0.03,-0.09
Nikolassee,10851,2.48,0.63,2.7,4.09,-0.34,-0.25,0.18,0.23
Krumme Lanke,7585,2.15,0.57,1.65,1.73,-0.41,-0.3,0.12,-0.52
Fischerhüttenstraße,5405,2.52,0.9,3.46,5.22,-0.51,-0.06,0.43,0.12
Fischtal,7299,2.94,0.62,2.69,4.47,-0.18,-0.5,0.06,0.88
Zehlendorf Eiche,5770,3.34,1.17,4.59,7.74,-0.62,-0.09,0.26,1.6
Hüttenweg,4592,2.57,0.43,2.57,4.23,0.26,-0.07,0.55,1.2
Thielallee,5136,1.91,0.48,1.4,1.46,0.49,0.28,-0.19,-0.38
Dahlem,7091,2.1,0.37,1.65,2.19,0.42,-0.17,0.75,1.14
Wittenbergplatz/Viktoria-Luise-Platz,10130,5.78,2,10.56,14.91,-0.81,-0.4,-0.44,-4.46
Nollendorfplatz,15907,7.78,2.64,20.24,44,-0.98,-0.63,0.47,0.78
Barbarossaplatz,10257,5.76,1.98,9.38,18.33,0.1,0.13,-0.67,-0.38
Dennewitzplatz,13701,8.47,3.09,22.53,43.32,-1.48,-0.81,-0.81,-4.63
Bayerischer Platz,10496,5.17,1.65,8.66,16.71,-1.22,-0.39,0.07,-1.55
Volkspark (Rudolf-Wilde-Park),10237,6.97,2.34,13.12,29.45,-0.39,0.03,1.22,1.92
Kaiser-Wilhelm-Platz,17768,6.43,2.2,14.28,27.29,-1.35,-0.64,-0.46,-2.17
Schöneberger Insel,11779,5.83,2.01,10.76,19.92,-1.76,-0.34,-1.2,-6.75
Friedenau,24695,3.5,1.05,5.19,8.16,-0.62,-0.2,-0.25,-1.15
Ceciliengärten,9351,4.13,1.15,6.3,10.92,-0.75,-0.52,-0.67,-0.88
Grazer Platz,12334,7.2,2.68,14.05,30.13,-0.61,-0.34,-1.27,-3.1
Neu-Tempelhof,18419,6.22,2.04,11.54,21.96,-0.98,-0.39,-0.67,-2.26
Lindenhofsiedlung,2293,6.94,2.39,14.17,30.47,-2.24,-1.27,-0.72,-10.06
Manteuffelstraße,23743,6.96,2.79,14.06,34.74,-1.24,-0.11,-0.63,-3.49
Marienhöhe,5102,7.43,2.07,13.47,34.46,-0.78,-0.71,0.08,1.38
Rathaus Tempelhof,11155,7.96,2.42,15.96,39.11,-1.24,-0.78,-0.24,-3.9
Germaniagarten,3911,12,4.1,29,71.02,-2.21,-0.95,2.67,5.78
Rathausstraße,16062,7.44,2.9,15.6,37.28,-1.19,-0.24,0.62,-2.33
Fritz-Werner-Straße,8120,8.04,2.76,13.55,32.37,-1.63,-0.47,-0.18,-3.43
Eisenacher Straße,9145,7.2,2.97,11.95,30.95,-1.41,0.13,0.1,-2
Imbrosweg,5588,7.49,2.53,13.44,27.74,-1.15,-0.67,0.28,-1.49
Hundsteinweg,10586,5.03,1.93,9.39,27.38,-0.86,-0.16,1.34,4.42
Birnhornweg,2305,3.71,0.5,4.12,12.11,-0.22,-1.16,1.31,2.95
Marienfelder Allee Nordwest,10109,8.81,2.27,20.17,47.03,-0.82,-0.89,2.12,5.69
Kirchstraße,4638,3.47,1.12,5.3,12.44,-0.84,-0.31,0.51,2.15
Marienfelde Nordost,3176,6.9,2.09,14.04,37.52,-1.66,-0.38,0.72,-12.06
Marienfelde Süd,14304,8.45,3.29,17.21,42.19,-0.85,-0.09,0.29,-1.69
Kettinger Straße/Schillerstraße,10474,4.22,1.38,6.75,17.82,-0.53,-0.32,0.64,0.1
Alt-Lichtenrade/Töpchiner Weg,10801,4.12,1.66,7.76,17.2,-0.97,-0.41,0.2,0.06
John-Locke-Straße,7304,8.67,3.26,14.84,36.9,-1.34,-0.62,-0.36,-5.66
Nahariyastraße,8390,10.77,4.06,26.02,58.51,-1.76,-0.34,2.31,-1.45
Franziusweg/Rohrbachstraße,6973,3.26,0.69,4.22,8.78,-0.4,-0.78,0.05,-1.54
Horstwalder Straße/Paplitzer Straße,3919,3.92,0.92,7.66,17.8,-1.2,-0.56,2.52,4.55
Wittelsbacherstraße,2936,2.73,0.83,3.75,11.75,-0.28,-0.4,0.88,2.21
Hasenheide,874,5.41,1.5,10.64,26.36,-2.92,-0.43,0.72,3.29
Wissmannstraße,3576,10.56,3.64,25.14,49.26,-1.83,-0.24,-2.33,-3.52
Schillerpromenade,15949,9.26,2.84,21.12,47.51,-1.36,-0.35,-1.57,-7.39
Silbersteinstraße,11755,11.67,3.49,29.6,68.23,0.24,-0.38,-1.28,-1.88
Flughafenstraße,9929,8.96,2.76,23.27,58.16,-1.17,-0.42,-0.91,-3.45
Rollberg,7432,11.21,3.58,34.23,65.54,-0.9,-0.38,-1.67,-2.45
Körnerpark,12649,9.29,2.89,24.87,59.85,-1.35,-0.44,-1.34,-6.25
Glasower Straße,8063,11.55,3.78,28.39,60.99,-0.91,-0.63,-1.71,-5.97
Reuterkiez,27792,7.63,2.25,17.24,37.88,-0.69,-0.27,-1.82,-6.96
Bouchéstraße,3670,9.59,3.34,21.14,51.48,-1.33,-0.78,-2.16,-3.36
Donaustraße,8512,9.54,3,25.67,60.91,-0.65,0.21,-0.09,-2.75
Rixdorf,23647,9.41,3.02,22.58,50.35,-1.03,-0.07,-1.77,-7.55
Hertzbergplatz,9145,8.98,2.5,19.81,46.71,-0.29,-0.15,-1.9,-6.47
Treptower Straße Nord,7071,12.68,3.69,32.56,69.81,-0.86,-0.51,-0.43,-3.84
Gewerbegebiet Ederstraße,835,9.8,2.52,13.89,43.06,-0.78,-0.42,-4.34,-9.8
Weiße Siedlung,5614,13.88,5.29,42,73.2,-1.52,0.22,0.09,0.86
