"SCHLUESSEL","PLANNAME","EW2016","STATUS1","STATUS2","STATUS3","STATUS4","DYNAMO1","DYNAMO2","DYNAMO3","DYNAMO4"
"08041037","Alt-Rudow","9682",4.91,1.47,10.55,30.79,-0.62,-0.37,0.92,1.09
"08041038","Waßmannsdorfer Chaussee","6913",3.55,1.07,4.69,10.94,0.12,-0.06,0.17,-0.03
"08041039","Frauenviertel","3858",3.32,0.66,10.32,22.33,-1.62,-0.93,-2.92,-6.87
"08041040","Waltersdorfer Chaussee Ost","7987",4.32,1.35,9,21.99,-0.08,0.02,-0.52,-0.75
"09010101","Elsenstraße","11934",6.89,2.51,11.28,20.47,-1.88,-0.91,-1.79,-6.37
"09010102","Am Treptower Park Nord","70",NA,NA,NA,NA,NA,NA,NA,NA
"09010201","Am Treptower Park Süd","4319",4.38,1.67,6.37,11.17,-0.66,-0.21,0.18,1.17
"09010202","Köpenicker Landstraße","6823",7.19,2.74,10.42,31.03,-2.94,-1.18,-0.1,-3.35
"09010301","Baumschulenstraße","15387",5.88,2.17,9.06,24.63,-1.8,-0.45,-0.39,-4.62
"09010302","Späthsfelde","2906",2.49,1.09,2.72,7.56,-0.42,0,0.44,2.54
"09010401","Johannisthal West","8203",5.19,1.79,6.84,20.84,-1.13,-0.82,0.34,-1.06
"09010402","Johannisthal Ost","11480",4.63,1.74,7.77,14.89,-0.67,-0.25,-0.18,-0.22
"09020501","Oberschöneweide West","6683",10.08,4.03,19.63,43.27,-3.05,-1.2,1.44,0.59
"09020502","Oberschöneweide Ost","14865",7.96,3.14,14.38,31.43,-0.86,-0.64,0.45,0.76
"09020601","Schnellerstraße","7658",6.75,2.36,13.16,33.3,-1.8,-0.26,0.64,-0.63
"09020602","Oberspree","3512",5.38,2.09,8.34,20.2,0.02,-0.13,2.02,-1.25
"09020701","Adlershof West","1259",1.87,0.47,2.22,9.09,-3.75,-3.04,-3.48,-17.58
"09020702","Adlershof Ost","16091",6.32,2.33,9.19,21.18,-1.08,-0.5,0.45,-0.15
"09020801","Spindlersfeld","2935",4.84,1.84,8.55,15.48,-0.87,-0.5,0.74,-0.89
"09020802","Köllnische Vorstadt","7737",8.07,3.24,18.19,43.47,-3.48,-1.23,-1.08,-8.19
"09030901","Dorf Altglienicke","12998",2.6,0.91,3.6,7.36,-0.67,-0.14,0.46,-0.76
"09030902","Wohngebiet II","5667",10.14,4.46,23.86,53.75,-4.05,-1.53,0.17,-3.05
"09030903","Kölner Viertel","8063",4.85,1.6,9.28,17.99,-0.92,-0.83,-0.11,-0.73
"09031001","Bohnsdorf","12776",3.58,1.26,4.8,11.66,-0.5,-0.15,-0.44,-2.13
"09031101","Grünau","6041",4,0.89,4.92,10.68,-0.38,-0.51,1.31,2.77
"09031201","Karolinenhof","1799",2.05,0,1.28,0,-0.44,-0.86,-0.03,-1.96
"09031202","Schmöckwitz/Rauchfangswerder","2475",2.48,0.76,3.35,8.2,-1.69,-0.43,0.59,2.4
"09041301","Kietzer Feld/Nachtheide","14437",5.24,1.81,6.83,17.57,-1.65,-0.84,0.01,-1.33
"09041302","Wendenschloß","1812",2.85,0.74,2.1,5.53,0.69,0.29,1.26,5.53
"09041401","Allende I","4962",4.83,1.56,6.49,19.19,-0.88,-0.34,-0.28,1.26
"09041402","Allende II","1485",3.51,1.43,4.98,8.78,-0.39,0.02,-0.96,-5.12
"09041501","Altstadt Kietz","7382",7.54,2.85,14.43,30.18,-0.99,-0.52,0.12,-2.59
"09041601","Müggelheim","6582",2.25,0.57,2.11,2.98,-0.84,-0.5,-0.05,-0.75
"09051701","Hirschgarten","3583",5.68,1.69,6.25,13.46,1.72,0.82,2.13,5.45
"09051702","Bölschestraße","14685",3.67,1.2,3.84,7.01,-0.72,-0.4,-0.23,-0.43
