"SCHLUESSEL","PLANNAME","EW2016","STATUS1","STATUS2","STATUS3","STATUS4","DYNAMO1","DYNAMO2","DYNAMO3","DYNAMO4"
"09051801","Rahnsdorf/Hessenwinkel","9393",3.45,0.93,2.76,4.81,-0.34,-0.22,0.34,0.9
"09051901","Dammvorstadt","10747",5.36,1.89,6.93,14.13,-1.14,-0.39,-0.82,-3.17
"09052001","Köpenick Nord","12775",4.25,1.6,5.07,10.96,-1.44,-0.52,0.26,-1.22
"10010101","Marzahn West","5671",8.45,2.59,24.67,49.47,-2.13,-1.3,-1.59,-5.65
"10010102","Havemannstraße","17831",10.16,3.06,25.56,54.13,-2.16,-1.21,-3.52,-8.09
"10010203","Gewerbegebiet Bitterfelder Straße","1379",NA,NA,NA,NA,NA,NA,NA,NA
"10010204","Wuhletalstraße","10479",8.84,2.3,22.42,46.42,-2.12,-1.89,-1.15,-7.51
"10010205","Marzahn Ost","8319",8.97,2.47,20.03,46.41,-2.87,-2,-2.23,-5.56
"10010206","Ringkolonnaden","17015",7.94,2.02,16.9,43.98,-1.54,-1.29,-1.48,-6.25
"10010207","Marzahner Promenade","10762",8.1,2.29,18.26,46.05,-1.98,-1.02,-2.13,-8.17
"10010308","Marzahner Chaussee","2329",5.4,1.32,6.96,14.48,-0.39,-0.54,0.95,3.92
"10010309","Springpfuhl","14378",6.92,1.91,14.33,38.06,-1.9,-1.39,-1.17,-5.68
"10010310","Alt-Marzahn","17818",6.92,1.97,13.26,36.11,-1.44,-0.8,-1.29,-4.94
"10010311","Landsberger Tor","2932",3.96,0.98,7.16,16.09,0.27,0.01,0.47,2.37
"10020412","Alte Hellersdorfer Straße","6736",11.79,3.54,33.82,60.41,-3.72,-1.69,-1.11,-2.35
"10020413","Gut Hellersdorf","15530",9.06,2.47,20.66,47.84,-1.77,-0.9,-1.76,-7.35
"10020414","Helle Mitte","1660",7.35,2.33,22.05,46.09,-1.02,-0.23,-1.59,-5.87
"10020415","Hellersdorfer Promenade","5550",12.79,3.56,33.37,69.96,-2.18,-1.69,0.62,-1.15
"10020416","Böhlener Straße","5547",11.08,2.78,27.06,55.27,-2.95,-1.31,-0.69,-1.15
"10020517","Adele-Sandrock-Straße","8861",4.9,1.61,10.81,29.01,-1.68,-0.62,-0.59,-2.66
"10020518","Schleipfuhl","5167",8.48,2.29,19.53,40.75,-1.46,-0.81,-0.81,-7.21
"10020519","Boulevard Kastanienallee","6051",12.35,3.46,29.88,57.37,-2.58,-1.8,-2.83,-4.33
"10020620","Kaulsdorf Nord II","3299",7.01,1.96,16.16,43.72,-1.38,-1.15,-1.57,-3.23
"10020621","Gelbes Viertel","6071",8.53,2.48,23.8,46.05,-2,-0.88,-1.42,-7.32
"10020622","Kaulsdorf Nord I","8631",6.03,1.53,11.55,31.51,-2.05,-1.02,-2.88,-11.86
"10020623","Rotes Viertel","6527",6.48,2.33,10.77,25.57,-1.48,-0.41,-1.31,-7.14
"10030724","Oberfeldstraße","7799",1.83,0.39,1.44,2.04,-0.49,-0.3,-0.13,-2.09
"10030725","Buckower Ring","6297",6.88,1.89,10.72,15.8,-0.74,-0.91,-1.5,-7.17
"10030726","Alt-Biesdorf","3009",2.75,0.76,2.86,5.84,-0.64,-0.09,1.31,3
"10030727","Biesdorf Süd","9315",2.06,0.56,1.2,3.45,-0.09,0.04,0.15,1.6
"10040828","Kaulsdorf Nord","7719",3.71,0.96,5.22,12.98,-0.43,-0.51,-0.89,-2.97
"10040829","Alt-Kaulsdorf","3762",2.42,0.64,3.88,4.71,-0.91,-0.34,0.67,1.05
"10040830","Kaulsdorf Süd","7545",2.09,0.6,1.8,3.43,-0.36,-0.09,-0.78,-2.26
"10040931","Mahlsdorf Nord","9323",2.04,0.48,1.81,2.11,-0.66,-0.37,-0.19,-1.03
"10040932","Alt-Mahlsdorf","3956",2.78,0.53,2.12,2.84,-0.5,-0.41,-0.8,-2.45
"10040933","Mahlsdorf Süd","14747",2.3,0.69,1.98,3.86,-0.49,-0.23,-0.13,-0.28
"11010101","Dorf Malchow","592",3.47,1.85,9.29,12.5,-7.21,-0.33,-3.39,4.03
"11010102","Dorf Wartenberg","2557",1.88,0.72,2.07,3.88,-1.19,-0.36,-0.27,-2.31
"11010103","Dorf Falkenberg","1604",4.14,0.58,4.55,8.37,1.17,-0.61,1.91,2
"11010204","Falkenberg Ost","8907",9.63,3.65,24.77,51.33,-2.52,-1.42,-0.2,-5.55
"11010205","Falkenberg West","6713",7.35,2.61,20.93,47.95,-2.89,-1.32,-1.63,-3.82
"11010206","Wartenberg Süd","5997",7.21,3.06,17.89,45.31,-1.56,-0.45,-0.59,-5.31
"11010207","Wartenberg Nord","7113",7.91,2.91,18.21,39.14,-1.68,-0.49,-0.04,-3.95
"11010308","Zingster Straße Ost","11771",8.67,3.16,20.53,50.31,-1.73,-0.96,1.76,-0.11
"11010309","Zingster Straße West","9670",9.77,3.1,22.76,51.85,-1.32,-1.43,-0.57,-2.95
"11010310","Mühlengrund","5238",6.64,2.51,9.98,27.88,-1.06,-0.66,-1.07,-5.46
"11020411","Malchower Weg","9242",6.19,1.74,11.3,28.5,0.65,0.09,3.43,6.32
"11020412","Hauptstraße","6410",6.8,2.57,12.39,27.13,-0.82,-0.75,-1.2,-5.33
"11020513","Orankesee","4014",2.8,0.2,4.81,10.51,-0.05,-0.73,2.63,6.65
"11020514","Große-Leege-Straße","9074",5.67,1.85,12.03,28.23,-1.09,-0.64,1.93,4.38
"11020515","Landsberger Allee","14529",6.96,2.49,14.78,39.41,-1.64,-0.62,0.47,-0.43
"11020516","Weiße Taube","3725",2.28,0.64,3.44,8.26,-0.7,-0.03,-0.23,-1.9
"11030617","Hohenschönhausener Straße","6044",9.46,3.68,18.7,57.64,-1.3,-0.11,-0.13,-4.1
"11030618","Fennpfuhl West","15954",5.87,2.11,11.61,31.49,-1.68,-0.72,-0.47,-3.23
"11030619","Fennpfuhl Ost","10784",7.75,2.58,16.62,42.35,-1.91,-0.95,-0.4,-6.01
"11030720","Herzbergstraße","5858",4.71,1.19,11.04,34.72,-0.34,-0.38,0.24,1.2
"11030721","Rüdigerstraße","25327",5.98,1.95,10.19,20.06,-1.38,-0.81,-0.45,-4.66
"11030824","Frankfurter Allee Süd","10019",6.55,2.18,14.05,38.77,-1.75,-0.87,-0.43,-1.42
"11040925","Victoriastadt","3817",5.5,1.62,9.3,13.55,-1.33,-0.19,-1.87,-5.53
"11040926","Weitlingstraße","28022",6.81,2.25,11.57,25.98,-1.01,-0.43,-1.16,-5.92
"11041022","Rosenfelder Ring","5448",8.34,2.79,14.59,46.89,-2.66,-1.79,-0.64,-2.22
"11041023","Gensinger Straße","5980",9.03,3.25,18.8,43.03,-0.83,-0.16,0.14,-1.21
"11041027","Tierpark","3033",6.6,1.64,14.9,34.02,-2.27,-1.79,-2.85,-9.57
"11041128","Sewanstraße","25108",6.57,2.29,12.12,38.68,-1,-0.86,0.23,-3.43
"11051229","Rummelsburg","3494",3.5,0.65,3.86,3.28,-1.03,-0.89,0.03,0.11
"11051330","Karlshorst West","9336",3.23,0.9,5.33,8.6,-0.93,-0.48,-0.56,-1.87
"11051331","Karlshorst Nord","11073",3.02,0.9,3.91,5.67,-0.9,-0.51,-0.24,-0.24
"11051332","Karlshorst Süd","6668",2.8,0.8,2.92,3.23,-0.23,-0.06,-0.26,-0.61
"12103115","Breitkopfbecken","7568",10.09,3.96,22.6,52.51,-0.89,-0.04,-0.79,-1.99
"12103116","Hausotterplatz","9479",8.58,2.9,23.58,52.45,-1.53,-0.59,-0.1,-1.25
"12103117","Letteplatz","10672",9.52,3.01,22.94,51.88,-0.89,-0.55,-1.47,-3.7
"12103218","Teichstraße","13515",8.41,2.75,20.58,52.77,-1.4,-0.73,-0.83,-1.2
"12103219","Schäfersee","8803",9.48,3.17,20.23,52.51,-1.25,-0.31,-0.3,-2.04
"12103220","Humboldtstraße","4601",7.45,2.54,12.39,33.55,0.53,0.1,-0.65,3.01
"12214125","Waldidyll/Flughafensee","7315",3.47,1.21,6.94,15.19,-0.86,-0.08,0.18,-0.92
"12214126","Tegel Süd","7651",9.31,3.3,20.55,44.36,0.11,-0.18,-0.14,-0.92
"12214421","Reinickes Hof","2598",9.69,3.19,17.44,46.53,-0.77,-0.6,0.61,3.97
"12214422","Klixstraße","7955",11.14,3.85,29.52,62.96,-0.14,-0.07,0.42,0.2
"12214423","Mellerbogen","5517",7.01,2.39,14.77,42.59,-0.22,-0.45,-0.41,-1.64
"12214424","Scharnweberstraße","10663",10.71,3.67,23.6,53.66,0.61,0.26,-0.35,-1.11
"12214527","Alt-Tegel","10698",4.87,1.56,6.85,16.33,-0.46,0.05,-0.54,-1.63
"12214528","Tegeler Forst","252",NA,NA,NA,NA,NA,NA,NA,NA
"12224229","Konradshöhe/Tegelort","6081",2.1,0.6,2.2,5.63,-0.77,-0.32,-0.07,-0.15
"12224230","Heiligensee","18043",2.47,0.77,2.74,4.94,-0.03,0.03,0.19,0.71
"12231101","Hermsdorf","16532",2.59,0.83,2.91,5.2,-0.35,-0.08,0.12,0.58
"12231102","Frohnau","16886",2.21,0.58,2.2,4.2,-0.06,-0.12,0.17,0.97
"12301203","Wittenau Süd","15270",6.78,2.18,12.85,31.82,0.02,-0.03,1.08,5.42
"12301204","Wittenau Nord","6561",3.65,1,6.52,16.46,0.22,0.02,0.33,2.04
"12301205","Waidmannslust","4924",3.47,0.97,5.75,11.61,-0.65,-0.36,0.69,2.78
"12301206","Lübars","5120",3,1.16,3.42,6.61,0.09,0.31,0.16,1.96
"12302107","Schorfheidestraße","3054",4.45,0.9,8.74,25,-0.36,-0.49,1.65,6.13
"12302108","Märkisches Zentrum","14505",11.22,3.84,26.88,61.05,-0.1,-0.33,-0.94,-4.65
"12302109","Treuenbrietzener Straße","11666",12.43,4.11,34.31,64.9,-0.51,-0.09,-0.62,-3.46
"12302110","Dannenwalder Weg","10481",11.45,3.83,30.74,59.95,-0.24,-0.46,-0.81,-2.25
"12302211","Lübarser Straße","3301",5.67,1.79,7.48,17.04,-0.52,-0.57,0.14,2.8
"12302212","Rollbergesiedlung","5929",11.65,3.45,34.49,68.9,-0.09,0,4.05,4.48
"12304313","Borsigwalde","6619",6.48,2.66,12.27,28.73,-0.54,0.24,0.67,-0.61
"12304314","Ziekowstraße/Freie Scholle","9660",4.54,1.59,7.78,16.63,-0.7,-0.04,-0.05,-1.57
