"sex","nuts","year","unempl_pct"
"F","NL11",2006,7.9
"F","NL12",2006,6.1
"F","NL13",2006,7
"F","NL21",2006,6.2
"F","NL22",2006,4.9
"F","NL23",2006,9.5
"F","NL31",2006,5
"F","NL32",2006,6
"F","NL33",2006,6.9
"F","NL34",2006,4.9
"F","NL41",2006,5.3
"F","NL42",2006,7.6
"F","NO01",2006,3.1
"F","NO02",2006,3.4
"F","NO03",2006,4.2
"F","NO04",2006,3.3
"F","NO05",2006,3.1
"F","NO06",2006,3.2
"F","NO07",2006,2.9
"F","PL21",2006,12.5
"F","PL22",2006,17
"F","PL41",2006,15.6
"F","PL42",2006,18
"F","PL43",2006,14.8
"F","PL51",2006,17.8
"F","PL52",2006,15.1
"F","PL61",2006,18.1
"F","PL62",2006,19.1
"F","PL63",2006,14.7
"F","PL71",2006,13.5
"F","PL72",2006,15.5
"F","PL81",2006,13.1
"F","PL82",2006,14.8
"F","PL84",2006,12
"F","PL91",2006,NA
"F","PL92",2006,NA
"F","PT11",2006,10.8
"F","PT15",2006,6.8
"F","PT16",2006,6.7
"F","PT17",2006,8.8
"F","PT18",2006,10.4
"F","PT20",2006,NA
"F","PT30",2006,NA
"F","RO11",2006,5.9
"F","RO12",2006,8
"F","RO21",2006,4.1
"F","RO22",2006,8.2
"F","RO31",2006,8
"F","RO32",2006,4.5
"F","RO41",2006,5.3
"F","RO42",2006,5.2
"F","RS11",2006,NA
"F","RS12",2006,NA
"F","RS21",2006,NA
"F","RS22",2006,NA
"F","SE11",2006,5.9
"F","SE12",2006,7.5
"F","SE21",2006,6.2
"F","SE22",2006,9.2
"F","SE23",2006,7.3
"F","SE31",2006,7.7
"F","SE32",2006,7
"F","SE33",2006,7.9
"F","SI01",2006,9
"F","SI02",2006,5.2
"F","SI03",2006,NA
"F","SI04",2006,NA
"F","SK01",2006,4.4
"F","SK02",2006,11.1
"F","SK03",2006,19.1
"F","SK04",2006,20.7
"F","TR10",2006,12.6
"F","TR21",2006,9.7
"F","TR22",2006,5.4
"F","TR31",2006,11.8
"F","TR32",2006,6.1
"F","TR33",2006,6.2
"F","TR41",2006,9.1
"F","TR42",2006,13.6
"F","TR51",2006,16.3
"F","TR52",2006,14.3
"F","TR61",2006,6
"F","TR62",2006,18
"F","TR63",2006,8.1
"F","TR71",2006,9.2
"F","TR72",2006,14.3
"F","TR81",2006,3.4
"F","TR82",2006,4.1
"F","TR83",2006,4.4
"F","TR90",2006,3.4
"F","TRA1",2006,1.1
"F","TRA2",2006,1.9
"F","TRB1",2006,8.3
"F","TRB2",2006,2.4
"F","TRC1",2006,4.6
"F","TRC2",2006,4.4
"F","TRC3",2006,15.3
"F","UKC1",2006,4.5
"F","UKC2",2006,5.7
"F","UKD1",2006,4.3
"F","UKD3",2006,4.8
"F","UKD4",2006,4.3
"F","UKD6",2006,2.8
"F","UKD7",2006,5.4
"F","UKE1",2006,5.6
"F","UKE2",2006,2.3
"F","UKE3",2006,6.2
"F","UKE4",2006,4.8
"F","UKF1",2006,5.2
"F","UKF2",2006,4.6
"F","UKF3",2006,5.1
"F","UKG1",2006,3.7
"F","UKG2",2006,4.1
"F","UKG3",2006,7.3
"F","UKH1",2006,4.7
"F","UKH2",2006,4.5
"F","UKH3",2006,4.7
"F","UKI1",2006,8.8
"F","UKI2",2006,7
"F","UKI3",2006,NA
"F","UKI4",2006,NA
"F","UKI5",2006,NA
"F","UKI6",2006,NA
"F","UKI7",2006,NA
"F","UKJ1",2006,3.8
"F","UKJ2",2006,4.1
"F","UKJ3",2006,4.2
"F","UKJ4",2006,5.3
"F","UKK1",2006,3.2
"F","UKK2",2006,3.6
"F","UKK3",2006,4.2
"F","UKK4",2006,4.4
"F","UKL1",2006,4.4
"F","UKL2",2006,4.6
"F","UKM2",2006,5.4
"F","UKM3",2006,4.8
"F","UKM5",2006,NA
"F","UKM6",2006,NA
"F","UKM7",2006,NA
"F","UKM8",2006,NA
"F","UKM9",2006,NA
"F","UKN0",2006,3.3
"M","AT11",2006,4.5
"M","AT12",2006,4.2
"M","AT13",2006,10.5
"M","AT21",2006,3.8
"M","AT22",2006,3.7
"M","AT31",2006,3.1
"M","AT32",2006,3.1
"M","AT33",2006,2.8
"M","AT34",2006,4
"M","BE10",2006,17.1
"M","BE21",2006,5.3
"M","BE22",2006,4.3
"M","BE23",2006,4.1
"M","BE24",2006,3.6
"M","BE25",2006,3.7
"M","BE31",2006,6.6
"M","BE32",2006,12.5
"M","BE33",2006,10.1
"M","BE34",2006,6.5
"M","BE35",2006,9.9
"M","BG31",2006,10.6
"M","BG32",2006,12.8
"M","BG33",2006,9.7
"M","BG34",2006,7.5
"M","BG41",2006,6.8
"M","BG42",2006,7.9
"M","CH01",2006,4.4
"M","CH02",2006,3.1
"M","CH03",2006,3.5
"M","CH04",2006,3.4
"M","CH05",2006,3.2
"M","CH06",2006,2
"M","CH07",2006,4.6
"M","CY00",2006,3.9
"M","CZ01",2006,2.9
"M","CZ02",2006,3.4
"M","CZ03",2006,3.8
"M","CZ04",2006,10.5
"M","CZ05",2006,4.8
"M","CZ06",2006,5.8
"M","CZ07",2006,5.6
"M","CZ08",2006,10.1
"M","DE11",2006,6.2
"M","DE12",2006,7.1
"M","DE13",2006,5.2
"M","DE14",2006,5.4
"M","DE21",2006,5.2
"M","DE22",2006,5.8
"M","DE23",2006,6.6
"M","DE24",2006,9.3
"M","DE25",2006,7.6
"M","DE26",2006,5.7
"M","DE27",2006,5.6
"M","DE30",2006,20.4
"M","DE40",2006,17
"M","DE50",2006,15.8
"M","DE60",2006,10.4
"M","DE71",2006,8
"M","DE72",2006,8.6
"M","DE73",2006,8.5
"M","DE80",2006,19.6
"M","DE91",2006,10
"M","DE92",2006,11
"M","DE93",2006,9.1
"M","DE94",2006,9.2
"M","DEA1",2006,10.6
"M","DEA2",2006,9.4
"M","DEA3",2006,9.4
"M","DEA4",2006,10.5
"M","DEA5",2006,11.3
"M","DEB1",2006,7.8
"M","DEB2",2006,5.7
"M","DEB3",2006,8.9
"M","DEC0",2006,10
"M","DED2",2006,15.9
"M","DED4",2006,15.2
"M","DED5",2006,19.9
"M","DEE0",2006,17.7
"M","DEF0",2006,9.2
"M","DEG0",2006,15
"M","DK01",2006,NA
"M","DK02",2006,NA
"M","DK03",2006,NA
"M","DK04",2006,NA
"M","DK05",2006,NA
"M","EE00",2006,6.2
"M","EL30",2006,6
"M","EL41",2006,5.2
"M","EL42",2006,5.4
"M","EL43",2006,4.2
"M","EL51",2006,7.3
"M","EL52",2006,5.7
"M","EL53",2006,10.1
"M","EL54",2006,5.6
"M","EL61",2006,4.4
"M","EL62",2006,6.7
"M","EL63",2006,5.6
"M","EL64",2006,4.6
"M","EL65",2006,4
"M","ES11",2006,6
"M","ES12",2006,6.8
"M","ES13",2006,4.3
"M","ES21",2006,5.7
"M","ES22",2006,4.1
"M","ES23",2006,5.1
"M","ES24",2006,3.9
"M","ES30",2006,4.6
"M","ES41",2006,5.2
"M","ES42",2006,5.3
"M","ES43",2006,9.9
"M","ES51",2006,5.2
"M","ES52",2006,6.4
"M","ES53",2006,5.2
"M","ES61",2006,9.3
"M","ES62",2006,6
"M","ES63",2006,16.5
"M","ES64",2006,8.5
"M","ES70",2006,9.5
"M","FI19",2006,6.9
"M","FI1B",2006,5.5
"M","FI1C",2006,7.2
"M","FI1D",2006,10.6
"M","FI20",2006,NA
"M","FR10",2006,8.3
"M","FRB0",2006,7.2
"M","FRC1",2006,6.5
"M","FRC2",2006,6.5
"M","FRD1",2006,6.7
"M","FRD2",2006,8.6
"M","FRE1",2006,11.5
"M","FRE2",2006,9.2
"M","FRF1",2006,6.1
"M","FRF2",2006,5.9
"M","FRF3",2006,9.8
"M","FRG0",2006,6.1
"M","FRH0",2006,6.6
"M","FRI1",2006,5.5
"M","FRI2",2006,5.7
"M","FRI3",2006,6.6
"M","FRJ1",2006,10.9
"M","FRJ2",2006,6.6
"M","FRK1",2006,7.4
"M","FRK2",2006,6.2
"M","FRL0",2006,10.8
"M","FRM0",2006,NA
"M","FRY1",2006,24.8
"M","FRY2",2006,23.4
"M","FRY3",2006,25
"M","FRY4",2006,27.5
"M","FRY5",2006,NA
"M","HR03",2006,NA
"M","HR04",2006,NA
"M","HU10",2006,4.8
"M","HU11",2006,NA
"M","HU12",2006,NA
"M","HU21",2006,5.7
"M","HU22",2006,5.2
"M","HU23",2006,9
"M","HU31",2006,10.7
"M","HU32",2006,10.4
"M","HU33",2006,7.5
"M","IE01",2006,4.3
"M","IE02",2006,4.6
"M","IE04",2006,NA
"M","IE05",2006,NA
"M","IE06",2006,NA
"M","IS00",2006,2.6
"M","ITC1",2006,3.3
"M","ITC2",2006,NA
"M","ITC3",2006,3.4
"M","ITC4",2006,2.9
"M","ITF1",2006,4.6
"M","ITF2",2006,7.2
"M","ITF3",2006,10.2
"M","ITF4",2006,10.2
"M","ITF5",2006,8
"M","ITF6",2006,11
"M","ITG1",2006,11.1
"M","ITG2",2006,8.5
"M","ITH1",2006,1.9
"M","ITH2",2006,1.8
"M","ITH3",2006,2.4
"M","ITH4",2006,2.5
"M","ITH5",2006,2.6
"M","ITI1",2006,3.2
"M","ITI2",2006,2.7
"M","ITI3",2006,3.1
"M","ITI4",2006,6
"M","LT00",2006,5.9
"M","LT01",2006,NA
"M","LT02",2006,NA
"M","LU00",2006,3.5
"M","LV00",2006,7.3
"M","ME00",2006,NA
"M","MK00",2006,35.3
"M","MT00",2006,6.1
"M","NL11",2006,6.7
"M","NL12",2006,4.6
"M","NL13",2006,5.5
"M","NL21",2006,4.4
"M","NL22",2006,3.3
"M","NL23",2006,4.1
"M","NL31",2006,3.9
"M","NL32",2006,4.1
"M","NL33",2006,4.2
"M","NL34",2006,3.2
"M","NL41",2006,3.4
"M","NL42",2006,4.4
"M","NO01",2006,3.8
"M","NO02",2006,2.7
"M","NO03",2006,3.8
"M","NO04",2006,2.7
"M","NO05",2006,2.7
"M","NO06",2006,3.9
"M","NO07",2006,4.6
"M","PL21",2006,12.6
"M","PL22",2006,12
"M","PL41",2006,10.4
"M","PL42",2006,16.6
"M","PL43",2006,13.4
"M","PL51",2006,17
"M","PL52",2006,12.3
"M","PL61",2006,14.7
"M","PL62",2006,13.4
"M","PL63",2006,13
"M","PL71",2006,13.4
"M","PL72",2006,15.6
"M","PL81",2006,12.5
"M","PL82",2006,12.7
"M","PL84",2006,10.8
"M","PL91",2006,NA
"M","PL92",2006,NA
"M","PT11",2006,7.1
"M","PT15",2006,4.4
"M","PT16",2006,4.3
"M","PT17",2006,8.3
"M","PT18",2006,8.1
"M","PT20",2006,NA
"M","PT30",2006,NA
"M","RO11",2006,6
"M","RO12",2006,9.8
"M","RO21",2006,7.6
"M","RO22",2006,9.6
"M","RO31",2006,10.4
"M","RO32",2006,5
"M","RO41",2006,8.6
"M","RO42",2006,7.4
"M","RS11",2006,NA
"M","RS12",2006,NA
"M","RS21",2006,NA
"M","RS22",2006,NA
"M","SE11",2006,6.4
"M","SE12",2006,7.1
"M","SE21",2006,5.6
"M","SE22",2006,7.4
"M","SE23",2006,6.2
"M","SE31",2006,8.1
"M","SE32",2006,7.6
"M","SE33",2006,9
"M","SI01",2006,5.5
"M","SI02",2006,4.2
"M","SI03",2006,NA
"M","SI04",2006,NA
"M","SK01",2006,4.7
"M","SK02",2006,8.9
"M","SK03",2006,14.3
"M","SK04",2006,17.9
"M","TR10",2006,9.8
"M","TR21",2006,5.7
"M","TR22",2006,4.7
"M","TR31",2006,9.8
"M","TR32",2006,4.9
"M","TR33",2006,6.2
"M","TR41",2006,6.6
"M","TR42",2006,9.3
"M","TR51",2006,9.8
"M","TR52",2006,8.1
"M","TR61",2006,6.6
"M","TR62",2006,13.1
"M","TR63",2006,10
"M","TR71",2006,9.2
"M","TR72",2006,8.5
"M","TR81",2006,5.6
"M","TR82",2006,3.7
"M","TR83",2006,6.4
"M","TR90",2006,4.9
"M","TRA1",2006,5
"M","TRA2",2006,4
"M","TRB1",2006,11.3
"M","TRB2",2006,8.4
"M","TRC1",2006,13.6
"M","TRC2",2006,11.5
"M","TRC3",2006,13.4
"M","UKC1",2006,6.9
"M","UKC2",2006,7.8
"M","UKD1",2006,4.2
"M","UKD3",2006,5.9
"M","UKD4",2006,5.5
"M","UKD6",2006,3.8
"M","UKD7",2006,7.4
"M","UKE1",2006,6.3
"M","UKE2",2006,5.5
"M","UKE3",2006,7.6
"M","UKE4",2006,6.1
"M","UKF1",2006,5.8
"M","UKF2",2006,5.5
"M","UKF3",2006,4.3
"M","UKG1",2006,3.9
"M","UKG2",2006,4.3
"M","UKG3",2006,8.3
"M","UKH1",2006,4.7
"M","UKH2",2006,5
"M","UKH3",2006,4.6
"M","UKI1",2006,8.9
"M","UKI2",2006,7.1
"M","UKI3",2006,NA
"M","UKI4",2006,NA
"M","UKI5",2006,NA
"M","UKI6",2006,NA
"M","UKI7",2006,NA
"M","UKJ1",2006,4
"M","UKJ2",2006,3.9
"M","UKJ3",2006,5
"M","UKJ4",2006,5.7
"M","UKK1",2006,3.4
"M","UKK2",2006,3.7
"M","UKK3",2006,3.5
"M","UKK4",2006,4.4
"M","UKL1",2006,6.3
"M","UKL2",2006,5.2
"M","UKM2",2006,5.3
"M","UKM3",2006,7.2
"M","UKM5",2006,NA
"M","UKM6",2006,3.6
"M","UKM7",2006,NA
"M","UKM8",2006,NA
"M","UKM9",2006,NA
"M","UKN0",2006,5.2
"T","AT11",2006,5.3
"T","AT12",2006,4.5
"T","AT13",2006,9.7
"T","AT21",2006,4.7
"T","AT22",2006,4.3
"T","AT31",2006,3.6
"T","AT32",2006,3.5
"T","AT33",2006,3.2
"T","AT34",2006,5
"T","BE10",2006,17.6
"T","BE21",2006,5.7
"T","BE22",2006,6.2
"T","BE23",2006,4.5
"T","BE24",2006,4.2
"T","BE25",2006,4.2
"T","BE31",2006,7.6
"T","BE32",2006,14.4
"T","BE33",2006,11.5
"T","BE34",2006,7.7
"T","BE35",2006,10.6
"T","BG31",2006,11
"T","BG32",2006,13.5
"T","BG33",2006,11
"T","BG34",2006,8.1
"T","BG41",2006,6.5
"T","BG42",2006,8.2
"T","CH01",2006,5.2
"T","CH02",2006,3.7
"T","CH03",2006,4
"T","CH04",2006,3.8
"T","CH05",2006,3.6
"T","CH06",2006,2.7
"T","CH07",2006,5.3
"T","CY00",2006,4.5
"T","CZ01",2006,2.8
"T","CZ02",2006,4.6
"T","CZ03",2006,4.9
"T","CZ04",2006,12.8
"T","CZ05",2006,6.1
